h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
2,0,7,0,8.682502223,1.070568874,7.41711547
2,0,8,1,121.2184134,3.391502649,134.7470352
2,0,9,3,28.70024593,1.69647231,28.98630186
2,0,10,2,52.8075398,3.036659628,44.93022995
2,0,11,3,92.81915224,3.324835484,98.86818432
2,0,12,1,28.18507467,2.240882204,24.55782794
2,0,13,4,14.31570662,4.238986624,17.66380995
2,0,14,3,18.53462157,3.378587969,16.48723653
2,0,15,3,156.7798436,8.739327598,171.4835756
2,1,0,0,4744.967792,77.58918598,4668.458755
2,1,1,1,80.6026269,1.356322319,73.73784435
2,1,2,0,837.2668777,10.35529626,821.510189
2,1,3,2,245.4032952,3.473013866,253.7394462
2,1,4,4,1435.808389,16.68069658,1433.585257
2,1,5,2,20.44454035,1.868240322,28.49038626
2,1,6,2,275.7761958,4.162768414,266.3757073
2,1,7,0,191.8653042,3.485892779,191.1278564
2,1,8,3,9.969587373,0.6586870511,10.43732053
2,1,9,3,74.00037411,1.831395971,73.36530734
2,1,10,1,61.77365656,1.852036717,61.55272204
2,1,11,1,108.5285366,3.121582425,112.7758896
2,1,12,1,109.1659636,3.426060394,104.7372
2,1,13,2,112.4679037,4.027226222,123.6857743
2,1,14,2,53.47340581,4.796172663,50.28074735
2,1,15,2,22.17498822,2.468547922,24.62395565
2,2,0,1,2.330247068,0.7340838184,4.088440696
2,2,1,2,427.5748719,6.311324602,393.0773908
2,2,2,3,1486.153285,22.00157801,1448.387814
2,2,3,2,148.8598444,3.28299053,133.4495844
2,2,4,4,120.6252227,2.79354193,111.6939292
2,2,5,1,7.14122246,0.9798882198,11.10500227
2,2,6,1,360.5346546,5.557574725,345.6055482
2,2,7,3,147.3506208,3.05939527,147.8991735
2,2,8,1,174.3481245,4.125394109,176.1607525
2,2,9,3,141.7981061,3.073952811,141.1606784
2,2,10,4,5.759004314,1.266314844,4.209806576
2,2,11,1,69.59610814,3.787341591,65.40875766
2,2,12,2,68.01818711,3.954665218,67.97109474
2,2,13,3,72.6997582,4.22021513,66.88946953
2,2,14,4,23.87609634,2.745796882,25.72752015
2,2,15,2,22.21590045,5.209404017,28.31050877
2,3,0,1,0.2642696257,1.016873515,0.02958116086
2,3,1,1,259.7191767,5.860806809,230.4312459
2,3,2,4,335.417454,7.088187554,325.1799266
2,3,3,2,314.378693,5.777696526,308.4120102
2,3,4,1,93.95715778,2.308593325,95.02945077
2,3,5,0,370.8402079,7.482960589,360.0918531
2,3,6,0,742.3228354,9.790078494,749.90486
2,3,7,2,11.02118533,1.104815528,11.69554612
2,3,8,1,98.83138714,2.816448675,96.35076413
2,3,9,2,63.07127319,3.019973415,62.1359101
2,3,10,2,267.7184044,6.615495501,269.9194819
2,3,11,0,38.20850946,2.472213952,38.89034162
2,3,12,3,89.44764857,4.258278335,93.39978727
2,3,13,2,13.86569614,4.62862885,12.78755717
2,3,14,3,9.496559409,3.898145476,10.3830157
2,3,15,0,8.28516331,3.665688758,6.844443923
2,4,0,0,24.26033358,3.863662781,28.58936713
2,4,1,4,297.201636,6.16895507,299.7909452
2,4,2,1,5.15693486,1.066229938,5.701635393
2,4,3,1,107.2568998,3.206321082,96.6992279
2,4,4,2,230.0530673,5.24555544,220.1218571
2,4,5,2,175.7321885,4.128371143,164.2606247
2,4,6,2,29.55615566,1.510936634,24.91842726
2,4,7,4,183.3523706,6.269037904,201.6060961
2,4,8,3,161.093249,6.83366427,167.7795758
2,4,9,1,7.468275139,1.528968519,7.857608089
2,4,10,2,48.07367864,3.234982695,39.77815198
2,4,11,0,22.03382589,3.098022504,18.08551329
2,4,12,2,29.9622576,2.640134984,37.59626813
2,4,13,1,-0.163896528,3.114434459,0.6630233237
2,4,14,1,-0.6457495757,2.917419091,11.42635015
2,5,0,2,338.9056437,14.40551545,328.5929935
2,5,1,1,181.6190325,4.750067142,178.3755718
2,5,2,0,6.770566724,1.258581674,8.261906518
2,5,3,3,267.604172,8.763195474,265.7670459
2,5,4,0,86.44544623,4.539067113,90.29568508
2,5,5,4,47.2502087,3.603945791,53.66952219
2,5,6,0,4.681562772,1.486759033,6.539627054
2,5,7,4,13.22310468,3.192884675,14.89444505
2,5,8,2,23.42631885,3.486091687,17.57576898
2,5,9,4,23.12784917,3.047258404,27.47003049
2,5,10,1,2.033087687,1.377205938,0.0662429564
2,5,11,4,6.13478209,2.523466218,5.961221716
2,5,12,2,78.83465176,10.03854454,79.48732542
2,5,13,0,-1.413757686,2.085723098,0.044651631
2,6,0,1,5.421423074,2.819058302,2.766821829
2,6,1,0,115.4637841,5.665154106,114.4680797
2,6,2,1,171.1876443,7.132268359,172.4961337
2,6,3,3,4.141327136,1.889773621,4.54340545
2,6,4,3,6.31119109,1.912154152,2.744953043
2,6,5,0,41.65682018,3.499483408,37.29591881
2,6,6,0,10.32854047,1.826247636,12.15697571
